Temperature C,Height m,Amokrane,Angelo,Hsu,Ruckenstein
18.37,0,0,0,0,0
18.37,0.01,0.041104522212094,0.095217037323795,0.0746208936677778,0.136142672659769
18.37,0.02,0.0733534835052114,0.168266261359696,0.132348082858607,0.250888556786442
18.37,0.03,0.100682759108645,0.2289249308588,0.180670577393968,0.351663673879099
18.37,0.04,0.124770677786591,0.281478810039943,0.222756899319344,0.442244131601047
18.37,0.05,0.146467617045185,0.328212108335126,0.260382985312832,0.524781151904645
18.37,0.06,0.166342016398881,0.370456525263867,0.294594631694182,0.600656942693949
18.37,0.07,0.18478984441725,0.409093327983751,0.326059122731097,0.670918629790921
18.37,0.08,0.202063361214055,0.444788233746522,0.355251658254181,0.736385233046568
18.37,0.09,0.218344136151286,0.478043533627174,0.382543533929159,0.797683570925475
18.37,0.1,0.233761979242192,0.509240064393739,0.408221339890121,0.855276905089375
18.37,0.11,0.248422060634122,0.538639566664228,0.432514835824594,0.909557989494626
18.37,0.12,0.262416775096082,0.566462623164598,0.455596984229314,0.960830085144822
18.37,0.13,0.275826384378122,0.592885990453328,0.477593093299659,1.00936731232546
18.37,0.14,0.288719149412663,0.618050990456339,0.498621126304718,1.05540812211183
18.37,0.15,0.301151330314499,0.642083182472889,0.518776277841643,1.09916356487641
18.37,0.16,0.313167190783411,0.665095148578011,0.538138374989575,1.14082000191775
18.37,0.17,0.324800316958695,0.687182219070714,0.556775280053065,1.18054223770375
18.37,0.18,0.336076768941164,0.708425724129259,0.574749379698585,1.2184714700783
18.37,0.19,0.347023857646643,0.728893741057612,0.592114855782197,1.2547286763191
18.37,0.2,0.357665947373821,0.748645059866268,0.608917719393023,1.28941931245275
18.37,0.21,0.368024119562127,0.767727364398734,0.62519923828614,1.32264537056939
18.37,0.22,0.378117647464541,0.786188653428808,0.640994310049929,1.35449528814743
18.37,0.23,0.387964086058951,0.804070832189892,0.656332636292186,1.38505261154416
18.37,0.24,0.397579296762084,0.821410041274734,0.67124465329605,1.41439320004474
18.37,0.25,0.406977447429509,0.838240138245556,0.685756313415969,1.44258704968434
18.37,0.26,0.416171013607579,0.854592414247457,0.699890830334138,1.46969869506492
18.37,0.27,0.425171039375562,0.870494905574762,0.713669354687369,1.49578755204202
18.37,0.28,0.433987364658481,0.88597304681292,0.727111788725868,1.52090777979574
18.37,0.29,0.442629633506179,0.901049788582319,0.740236144450579,1.54510885739326
18.37,0.3,0.451106529363677,0.915746159902565,0.753058727683267,1.56843651544466
18.37,0.31,0.45942595643674,0.930080806822081,0.765594675007274,1.5909344962195
18.37,0.32,0.467595316778876,0.944071881006191,0.77785761595772,1.61264242176703
18.37,0.33,0.47562152550128,0.957735803375254,0.789859948915678,1.633597940032
18.37,0.34,0.483511015101697,0.971087560430297,0.801613835712959,1.65383620786395
18.37,0.35,0.491269735464418,0.984141349715791,0.813130215637949,1.67339033520755
18.37,0.36,0.498903154143506,0.996910489997035,0.824419238932186,1.69229147574046
18.37,0.37,0.506416312515151,1.0094073223343,0.835490400366355,1.71056882674228
18.37,0.38,0.51381387208039,1.02164335007011,0.84635271456698,1.72824963943998
18.37,0.39,0.521100341253296,1.03362926712968,0.857014562549465,1.74535941898028
18.37,0.4,0.528279894486753,1.04537508708051,0.867483752737223,1.76192219385727
18.37,0.41,0.535356434997048,1.05689002833523,0.877767651971269,1.77796093031596
18.37,0.42,0.54233366875931,1.06818301357012,0.887873094188629,1.79349695006265
18.37,0.43,0.549215108485642,1.07926231696047,0.897806465648069,1.80855064522088
18.37,0.44,0.556004074839456,1.09013568224354,0.90757397654832,1.82314132660475
18.37,0.45,0.562703696435475,1.10081050893143,0.917181373819657,1.8372873790839
18.37,0.46,0.569316909932232,1.11129381926638,0.926634086292998,1.85100628734078
18.37,0.47,0.575846477808849,1.12159223526975,0.9359372650677,1.86431461095472
18.37,0.48,0.58229500264205,1.13171202332806,0.945095839296648,1.87722800947118
18.37,0.49,0.588665000971278,1.14165910370491,0.954114464102446,1.8897613228237
18.37,0.5,0.594958842401729,1.1514390922471,0.962997544735851,1.90192867353892
18.37,0.51,0.601178775139255,1.16105726141334,0.971749281101877,1.91374359294818
18.37,0.52,0.607326952860613,1.17051871877085,0.980373634764387,1.92521881369315
18.37,0.53,0.613405436146147,1.17982827429928,0.988874362400476,1.9363665733502
18.37,0.54,0.619416192934532,1.18899049268215,0.997255114704026,1.94719855603537
18.37,0.55,0.625361098522771,1.19800976386111,1.00551932694868,1.9577259609917
18.37,0.56,0.631241935604047,1.20689028855099,1.01367027920202,1.96795951133246
18.37,0.57,0.637060401379086,1.21563607115341,1.02171111209295,1.97790943498291
18.37,0.58,0.64281811315046,1.22425093776628,1.02964484922682,1.98758548307036
18.37,0.59,0.648516638399802,1.23273854012057,1.03747437527676,1.99699696704894
18.37,0.6,0.654157469325348,1.24110237224981,1.0452024470934,2.00615280460635
18.37,0.61,0.659742034821981,1.24934575430212,1.05283171228689,2.01506156324327
18.37,0.62,0.665271712292478,1.25747190970262,1.06036469485011,2.02373137296527
18.37,0.63,0.670747828274816,1.26548390557987,1.06780381058289,2.03217007637912
18.37,0.64,0.676171658646197,1.27338467866795,1.07515141034224,2.04038520208976
18.37,0.65,0.681544428623049,1.28117706711516,1.08240973049981,2.04838399981675
18.37,0.66,0.686867312778999,1.28886380327713,1.0895809218083,2.05617344375922
18.37,0.67,0.692141438364497,1.29644751108426,1.09666705666562,2.06376022022743
18.37,0.68,0.697367887872103,1.30393071453405,1.10367013961989,2.07115073940758
18.37,0.69,0.702547713248515,1.31131583956574,1.11059209674076,2.0783511541844
18.37,0.7,0.70768192359854,1.31860522174727,1.11743478133055,2.08536738323507
18.37,0.71,0.712771491438614,1.32580109856018,1.1241999828312,2.09220512657678
18.37,0.72,0.71781735860635,1.33290564739609,1.13088941970061,2.09886982455043
18.37,0.73,0.72282043657376,1.3399209553428,1.13750474738203,2.10536673993537
18.37,0.74,0.727781606550836,1.34684903322494,1.14404757976501,2.11170094436863
18.37,0.75,0.732701719485551,1.35369183177741,1.15051946391195,2.11787733824657
18.37,0.76,0.737581596073355,1.36045123770813,1.15692189541009,2.12390065215316
18.37,0.77,0.742422028485662,1.36712907258708,1.16325632212594,2.12977543908832
18.37,0.78,0.747223781684466,1.3737270973116,1.1695241496958,2.13550608178514
18.37,0.79,0.751987600890206,1.38024701309359,1.17572673581757,2.14109680289839
18.37,0.8,0.756714205002483,1.38669046538662,1.18186539344517,2.14655167760092
18.37,0.81,0.761404290141307,1.39305903982514,1.18794139550538,2.15187463867274
18.37,0.82,0.766058532894384,1.39935428279408,1.19395597102188,2.15706945568738
18.37,0.83,0.770677590489025,1.40557768467587,1.19991030959716,2.16213978326404
18.37,0.84,0.77526210084969,1.41173068802437,1.20580557309263,2.16708915354482
18.37,0.85,0.779812682597994,1.41781469654704,1.21164288155437,2.1719209883338
18.37,0.86,0.784329935058129,1.42383107279439,1.21742332204041,2.17663859975783
18.37,0.87,0.788814439233183,1.42978113764643,1.22314795073285,2.18124518539191
18.37,0.88,0.793266758536915,1.43566617285834,1.22881779605082,2.1857438328067
18.37,0.89,0.797687443042977,1.44148742162145,1.23443385534194,2.19013752535263
18.37,0.9,0.802077025683426,1.44724609072946,1.23999709680389,2.19442915147406
18.37,0.91,0.806436024386165,1.45294334821779,1.24550846223184,2.19862150477613
18.37,0.92,0.810764943990838,1.45858033493039,1.25096886454202,2.20271726462145
18.37,0.93,0.81506427635018,1.46415815593714,1.25637919031733,2.20671903388892
18.37,0.94,0.819334500364257,1.4696778847452,1.26174030631881,2.21062933648746
18.37,0.95,0.823576081980473,1.47514056783312,1.26705305383163,2.21445062310142
18.37,0.96,0.827789474195348,1.48054722454258,1.27231825171656,2.21818526941648
18.37,0.97,0.831975117471695,1.48589884634384,1.27753669728079,2.22183557590016
18.37,0.98,0.836133440340254,1.49119639768223,1.28270916786842,2.22540377437706
18.37,0.99,0.840264861848385,1.49644081617961,1.28783642011058,2.22889202582428
18.37,1,0.84436979060545,1.50163301380853,1.29291918990167,2.2323024203112
