Temperature C,Height m,Amokrane,Angelo,Hsu,Ruckenstein
18.32,0,0,0,0,0
18.32,0.01,0.02973651764812,0.0691470884684362,0.054115637863468,0.116357585689037
18.32,0.02,0.0556260371452692,0.128278610445754,0.10069329021686,0.220169826031638
18.32,0.03,0.0787794186150993,0.180413918302993,0.141986701018144,0.314270990534736
18.32,0.04,0.0998850113267367,0.227238144306267,0.1793073695557,0.400467490219277
18.32,0.05,0.119391934500731,0.269880693164686,0.213466064110966,0.480116866350591
18.32,0.06,0.137599071674488,0.309168152470636,0.245063054115604,0.554196445642174
18.32,0.07,0.154706261884911,0.345701585136425,0.274546603883517,0.623420313583949
18.32,0.08,0.170870964478946,0.379884670698624,0.302253047134621,0.688353161002127
18.32,0.09,0.186221301371214,0.412041996525249,0.328415527900791,0.749441535698966
18.32,0.1,0.20086418436175,0.442408209560219,0.353228729137442,0.807064733160783
18.32,0.11,0.214886642420775,0.471187797770163,0.376842731735317,0.861554871805864
18.32,0.12,0.228360372715461,0.49855676207331,0.399379283572111,0.91320467945952
18.32,0.13,0.241339504675366,0.524667610515508,0.42095047007975,0.962263030539517
18.32,0.14,0.25386589921325,0.549651619697608,0.441651839621351,1.00894343232902
18.32,0.15,0.265981190265458,0.573619032509663,0.461566043568843,1.05342427669589
18.32,0.16,0.277717439729591,0.596659165093438,0.480763399723641,1.09586033599428
18.32,0.17,0.289103609241891,0.61884458907327,0.499302108844547,1.13639630173437
18.32,0.18,0.300166941503079,0.640234468269582,0.517231639749146,1.17515658152371
18.32,0.19,0.310931008551762,0.660889530893015,0.534592494195555,1.2122576010384
18.32,0.2,0.321416731138375,0.680859909807464,0.551425524262874,1.24780381287388
18.32,0.21,0.331642618561607,0.700192394116366,0.567765711523367,1.28189110321936
18.32,0.22,0.341625408988439,0.718929140198209,0.583643638675772,1.31460736341765
18.32,0.23,0.351379359885013,0.737108368330699,0.599088543043002,1.3460325866754
18.32,0.24,0.360917174539101,0.75476481211458,0.614126575958527,1.37623966347507
18.32,0.25,0.370251489061085,0.771929747563562,0.628781542634062,1.40529438233206
18.32,0.26,0.379392998818261,0.78863100247334,0.643075011353975,1.43325772727987
18.32,0.27,0.388351693784493,0.804893661973424,0.657026346753331,1.46018737133179
18.32,0.28,0.397136952315883,0.820740141520014,0.670653212361799,1.48613538235306
18.32,0.29,0.405757314848418,0.836192264491212,0.683971367125842,1.51115093589014
18.32,0.3,0.414220666013031,0.851269293653014,0.69699612714442,1.53527970108076
18.32,0.31,0.422534277361079,0.865989407196751,0.70974124186085,1.55856458920262
18.32,0.32,0.430704907737545,0.880369459913969,0.722219354284785,1.58104570923951
18.32,0.33,0.438738673712063,0.8944251680265,0.734442525653429,1.60276047693242
18.32,0.34,0.446641246332687,0.908171190109329,0.746421915238489,1.62374388071717
18.32,0.35,0.454418124539458,0.921621133099509,0.758167947809979,1.64402848193274
18.32,0.36,0.462074255640694,0.93478755399983,0.769690334953844,1.66364501273788
18.32,0.37,0.469614330077446,0.947682121707454,0.78099808312878,1.68262259725089
18.32,0.38,0.477042793997329,0.960315622992826,0.792099612422456,1.70098826844314
18.32,0.39,0.484363803499412,0.972698474242196,0.803002700399629,1.71876777627603
18.32,0.4,0.491581271444138,0.984840218979853,0.813714865032987,1.73598543830666
18.32,0.41,0.498698879443636,0.996749952963428,0.824243053338184,1.75266436336845
18.32,0.42,0.505720104116664,1.00843625301619,0.834593797896515,1.76882639800755
18.32,0.43,0.512648180680571,1.01990723892158,0.844773361679263,1.78449220301378
18.32,0.44,0.519486164468857,1.0311705965722,0.854787645196276,1.79968135240763
18.32,0.45,0.526237009634678,1.04223357984572,0.864642241034225,1.81441233350616
18.32,0.46,0.532903453037696,1.0531030110722,0.874342440295399,1.82870275941766
18.32,0.47,0.539488113865393,1.0637853335605,0.883893235337008,1.8425693977624
18.32,0.48,0.545993495847371,1.07428661172783,0.893299359232191,1.85602803903062
18.32,0.49,0.552421973549749,1.08461270648994,0.902565265387638,1.86909381590617
18.32,0.5,0.558775809001443,1.09476909875389,0.911695263946903,1.88178115365198
18.32,0.51,0.565057156155071,1.10476104987776,0.920693406586479,1.89410385702379
18.32,0.52,0.571268070137035,1.11459357416868,0.929563551240627,1.9060750765462
18.32,0.53,0.577410493732081,1.1242714644364,0.938309415389988,1.91770735364935
18.32,0.54,0.583486281881566,1.13379930074462,0.946934540753244,1.92901266385184
18.32,0.55,0.589497231153332,1.14318145115754,0.955442315611519,1.94000241678597
18.32,0.56,0.595445034189861,1.15242207190192,0.963835977324973,1.95068754749633
18.32,0.57,0.601331321459872,1.16152512852933,0.972118613480583,1.96107850853399
18.32,0.58,0.607157661592256,1.17049439545049,0.980293178088968,1.97118523016
18.32,0.59,0.612925556150577,1.17933352966879,0.988362482669029,1.9810172705582
18.32,0.6,0.618636446837518,1.18804599512276,0.996329255162422,1.99058379603956
18.32,0.61,0.624291717480388,1.19663513481228,1.00419608874137,1.9998936212991
18.32,0.62,0.629892697968646,1.20510415822001,1.01196547265419,2.00895518939912
18.32,0.63,0.635440658253665,1.21345615350298,1.01963981575407,2.01777659793787
18.32,0.64,0.640936819779336,1.22169409143859,1.02722143053056,2.02636562008472
18.32,0.65,0.646382368575932,1.22982082577272,1.03471254373203,2.03472970459121
18.32,0.66,0.651778434243804,1.23783909328506,1.0421152975263,2.04287602022897
18.32,0.67,0.657126110147688,1.24575152364533,1.04943175005393,2.05081144230504
