Temperature C,Height m,Amokrane,Angelo,Hsu,Ruckenstein
22.1,0,0,0,0,0
22.1,0.01,0.0369153641467344,0.0855182279988084,0.0670219828480548,0.122272871635042
22.1,0.02,0.0658836238986929,0.151119813650381,0.118860235486891,0.225332845750193
22.1,0.03,0.0904230387006119,0.205611815555304,0.162269146299775,0.315842816426672
22.1,0.04,0.112059364243296,0.252801511626897,0.20006901771038,0.397182800094552
22.1,0.05,0.13155206817018,0.294762669565802,0.233854075639105,0.471315168772777
22.1,0.06,0.149400354851263,0.332716177436411,0.264570646380348,0.539477560273075
22.1,0.07,0.165960922122661,0.367431068857754,0.292841552407897,0.602589992249541
22.1,0.08,0.181469769094825,0.399497745054901,0.319073452068175,0.661379516171248
22.1,0.09,0.196090043042635,0.429360431116762,0.343592508556813,0.71641967541726
22.1,0.1,0.209939794128375,0.457363192332665,0.366652942025648,0.768136926214922
22.1,0.11,0.223111931077073,0.483764033034603,0.388458816606319,0.816880517487292
22.1,0.12,0.235686553766929,0.508744578725433,0.409176656324543,0.862933135538736
22.1,0.13,0.24773395817995,0.532472000967474,0.428931623152743,0.906531277673598
22.1,0.14,0.259314682319934,0.555076636170649,0.447816017229428,0.947888785452746
22.1,0.15,0.270479550835796,0.576667138918569,0.465918391250178,0.987192561981175
22.1,0.16,0.281269675021565,0.597338211074114,0.483310500934422,1.02460792646465
22.1,0.17,0.291716588989662,0.617176775259201,0.500052205371118,1.06028261123202
22.1,0.18,0.301844325210694,0.636255699727699,0.516196730291261,1.09434517330347
22.1,0.19,0.311676219555211,0.65463706383164,0.531793388200735,1.12690700959538
22.1,0.2,0.321234237468592,0.672374558152635,0.546883905655114,1.15806345140966
22.1,0.21,0.330537413911205,0.689514099499083,0.561505071104078,1.18790421547339
22.1,0.22,0.339602851206487,0.706094079138831,0.575690105181829,1.21651048380157
22.1,0.23,0.348446210643686,0.722154228170978,0.589466948395045,1.243955457547
22.1,0.24,0.357081715821243,0.737727712228318,0.602859812763648,1.27030772804135
22.1,0.25,0.365522161416392,0.752844126092871,0.615893255481284,1.29562984252538
22.1,0.26,0.373778913185164,0.767530815033536,0.628588259560912,1.31997953409696
22.1,0.27,0.381861935161501,0.781813377351269,0.640963626640158,1.34341024479651
22.1,0.28,0.389780096742715,0.795714635391843,0.653036838483304,1.36597089122358
22.1,0.29,0.397541906093805,0.809255296042064,0.664824215300145,1.38770631146638
22.1,0.3,0.405155209255036,0.822454333591339,0.676340450848716,1.40865746378777
22.1,0.31,0.412627114577276,0.835328934253277,0.687599088977485,1.42886340404992
22.1,0.32,0.419964230375792,0.847894595841916,0.698612693651692,1.44836010018379
22.1,0.33,0.427172746855108,0.860166538743139,0.709392567624175,1.46718099282294
22.1,0.34,0.434258437659163,0.872158316688039,0.719949065875173,1.48535773524804
22.1,0.35,0.441226661395783,0.883882492357657,0.730292315085071,1.50291995885476
22.1,0.36,0.448082361636689,0.895350894145885,0.740431438388244,1.51989557035828
22.1,0.37,0.45483007314802,0.906574695473834,0.750374907668128,1.53631084384225
22.1,0.38,0.461473989211741,0.917564218292251,0.760130728588876,1.5521903236382
22.1,0.39,0.468018127481214,0.928329085790706,0.769706463604972,1.56755701453363
22.1,0.4,0.474466250620668,0.938878315586445,0.779109136376154,1.58243244417411
22.1,0.41,0.480821864522605,0.949220294611125,0.788345352527683,1.59683722506128
22.1,0.42,0.487088285631369,0.959362821881923,0.797421338003611,1.61079061940201
22.1,0.43,0.493268662545715,0.969313476162173,0.806342868289184,1.62431082351099
22.1,0.44,0.499365976597938,0.979079232303856,0.815115360316418,1.6374151979593
22.1,0.45,0.505383042283511,0.988666674199719,0.823744075778524,1.65012020835831
22.1,0.46,0.511322507261079,0.998082071554227,0.832233888101538,1.66244152894816
22.1,0.47,0.517186854401998,1.00733139993741,0.840589403012828,1.67439405821377
22.1,0.48,0.522978423332187,1.01642028296852,0.848815017441759,1.68599188240183
22.1,0.49,0.528699464745458,1.02535404316094,0.856914924341682,1.69724836234113
22.1,0.5,0.534352111877616,1.03413773331257,0.864893083471316,1.70817615746494
22.1,0.51,0.539938383503315,1.04277612534849,0.872753263726938,1.71878743464583
22.1,0.52,0.545460209212042,1.05127372957102,0.880499055236981,1.7290936728987
22.1,0.53,0.550919437195258,1.0596349243975,0.888133845068759,1.739105814572
22.1,0.54,0.55631783449698,1.06786381520636,0.895660852312575,1.74883435763197
22.1,0.55,0.561657087175074,1.07596431942183,0.903083203655037,1.75828933664843
22.1,0.56,0.566938800301256,1.08394019626284,0.910403842849603,1.7674803681972
22.1,0.57,0.572164498802776,1.09179505340348,0.917625581471094,1.77641665133092
22.1,0.58,0.577335636130432,1.0995323249463,0.924751122661586,1.78510695193254
22.1,0.59,0.582453616465295,1.10715529253969,0.931783062298209,1.79355964603872
22.1,0.6,0.587519782237673,1.11466709834031,0.938723877626732,1.80178273067289
22.1,0.61,0.592535416448035,1.12207073952132,0.945575945393785,1.80978391544222
22.1,0.62,0.597501754019304,1.12936907784596,0.952341546542795,1.81757052211185
22.1,0.63,0.602419985202631,1.13656489512018,0.959022856052966,1.8251495711765
22.1,0.64,0.607291255700077,1.1436608308708,0.965621958826684,1.83252782517056
22.1,0.65,0.612116666737098,1.15065942210225,0.97214088318814,1.83971178177889
22.1,0.66,0.616897275062541,1.15756311691554,0.978581559364813,1.84670769689397
22.1,0.67,0.621634093349247,1.16437427715192,0.984945844075222,1.85352158242213
22.1,0.68,0.626328094253586,1.17109516846136,0.99123553170172,1.86015919881524
22.1,0.69,0.630980220940358,1.17772797045202,0.997452354551417,1.86662607816291
22.1,0.7,0.635591380850374,1.18427478283451,1.00359797766753,1.87292752963655
22.1,0.71,0.640162447207092,1.19073762246172,1.00967400771906,1.87906868438703
22.1,0.72,0.644694264782921,1.19711842852629,1.01568199509912,1.88505443887232
22.1,0.73,0.649187651596978,1.20341908959061,1.02162342906075,1.89088950754694
22.1,0.74,0.653643398981143,1.20964141239556,1.02749974581901,1.89657844541356
22.1,0.75,0.658062271616895,1.21578714260782,1.03331234533194,1.90212564545079
22.1,0.76,0.662445007535312,1.22185797182202,1.03906256992298,1.90753535157673
22.1,0.77,0.66679231832885,1.22785553875011,1.04475171745955,1.91281165649753
22.1,0.78,0.67110489126892,1.2337814241818,1.05038104721513,1.91795849785169
22.1,0.79,0.675383394848616,1.2396371563957,1.05595177988343,1.92297967112772
22.1,0.8,0.679628475360645,1.24542421437606,1.06146509492501,1.9278788326194
22.1,0.81,0.683840757865171,1.25114402609573,1.066922135371,1.93265952324966
22.1,0.82,0.688020849394137,1.25679797154626,1.07232400885953,1.93732513439505
22.1,0.83,0.692169339881542,1.26238739723563,1.07767178506842,1.94187894150634
22.1,0.84,0.696286802201727,1.26791359908233,1.08296650022461,1.94632411673002
22.1,0.85,0.700373792189852,1.27337783417054,1.08820916630145,1.95066372803378
22.1,0.86,0.704430848641898,1.27878132467181,1.09340075903071,1.9549007470559
22.1,0.87,0.708458493435779,1.28412525843201,1.09854222552579,1.9590380474749
22.1,0.88,0.712457232728492,1.28941078618062,1.10363448761699,1.96307840290104
22.1,0.89,0.716427560115007,1.29463902464853,1.10867844180171,1.96702449436915
22.1,0.9,0.720369954609753,1.29981105838318,1.11367495776758,1.97087891207122
22.1,0.91,0.724284881281626,1.3049279386919,1.11862488116934,1.97464416965087
22.1,0.92,0.728172793159599,1.30999068522868,1.123529034203,1.97832268046526
22.1,0.93,0.73203413178586,1.31500029427365,1.12838821418165,1.98191677913291
22.1,0.94,0.735869327235788,1.31995773061851,1.13320319585505,1.98542873253704
22.1,0.95,0.73967879812904,1.32486393287382,1.13797473651037,1.98886073963182
22.1,0.96,0.743462951629553,1.32971981526131,1.14270357168179,1.99221493402512
22.1,0.97,0.747222183488583,1.33452626871418,1.14739041720691,1.99549338072442
22.1,0.98,0.750956878622143,1.33928415944302,1.15203597058063,1.99869808256349
22.1,0.99,0.754667412951183,1.34399432979447,1.15664091164451,2.00183097993724
22.1,1,0.758354153458819,1.34865759895437,1.16120590162753,2.00489395005543
