Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
5,4,676.4895288,22.54965096,217.6825916,7.256086387,45,1.5,44,1.466666667,357.6553029,36.30889724
6,4,676.6345904,22.55448635,230.0923277,7.669744257,45,1.5,43,1.433333333,355.6911768,38.04556804
7,4,676.7747921,22.55915974,242.5604607,8.085348688,46,1.533333333,44,1.466666667,353.5457701,35.85456805
8,4,676.9553459,22.5651782,254.9207547,8.497358491,45,1.5,45,1.5,347.3612615,35.1969419
9,4,677.0037129,22.56679043,267.3131188,8.910437294,45,1.5,45,1.5,346.0944413,36.9375
10,4,677.1878049,22.57292683,279.8164634,9.327215447,46,1.533333333,46,1.533333333,345.0620307,39.61913146
11,4,677.3832335,22.57944112,292.2347305,9.741157685,46,1.533333333,46,1.533333333,345.0528151,40.22158439
12,4,677.4923168,22.58307723,304.6997636,10.15665879,46,1.533333333,47,1.566666667,342.9760722,40.79807692
13,4,677.5651666,22.58550555,317.1303331,10.5710111,46,1.533333333,48,1.6,339.9376322,43.02179989
14,4,677.6988998,22.58996333,329.6334684,10.98778228,47,1.566666667,48,1.6,336.3872144,43.43338861
17,4,678.0267909,22.60089303,367.3913803,12.24637934,46,1.533333333,48,1.6,329.9545289,43.62617859
18,4,678.2703023,22.60901008,379.8689982,12.66229994,45,1.5,48,1.6,334.8262977,43.13137033
19,4,678.307554,22.6102518,392.4076739,13.0802558,45,1.5,47,1.566666667,328.5295623,45.01884637
20,4,678.4048485,22.61349495,405.1709091,13.50569697,45,1.5,47,1.566666667,323.3249247,42.85730791
21,4,678.6008584,22.62002861,417.9521766,13.93173922,44,1.466666667,47,1.566666667,324.6901762,45.00994734
22,4,678.7557776,22.62519259,430.5321674,14.35107225,44,1.466666667,46,1.533333333,334.1870108,45.20597015
23,4,678.8866242,22.62955414,443.255414,14.77518047,43,1.433333333,46,1.533333333,339.8885897,46.04814138
24,4,678.9490651,22.6316355,455.9742102,15.19914034,43,1.433333333,45,1.5,340.5516075,47.51785714
25,4,679.0287206,22.63429069,468.7637076,15.62545692,43,1.433333333,45,1.5,337.5276651,42.12325286
3,5,286.8007995,9.560026649,428.841439,14.29471463,43,1.433333333,44,1.466666667,500.7027194,46.40452428
4,5,286.7905898,9.559686326,441.5102717,14.71700906,43,1.433333333,44,1.466666667,505.4602908,46.07086093
5,5,286.8367618,9.561225393,454.1161248,15.13720416,43,1.433333333,43,1.433333333,498.1351916,47.53240741
6,5,286.8480845,9.561602818,466.6862616,15.55620872,44,1.466666667,44,1.466666667,492.4407664,48.13504611
7,5,286.9827013,9.566090042,479.1031271,15.97010424,45,1.5,42,1.4,496.8090585,47.21513944
46,6,333.7765525,11.12588508,26.21996518,0.873998839,48,1.6,46,1.533333333,427.5978218,58.13805104
47,6,334.0361032,11.13453677,38.03037249,1.267679083,47,1.566666667,47,1.566666667,428.1530209,58.5982808
48,6,334.2263724,11.14087908,50.00226372,1.666742124,47,1.566666667,47,1.566666667,421.3284071,57.48670062
49,6,334.5147468,11.15049156,61.91096272,2.063698757,48,1.6,49,1.633333333,415.5273425,57.10962716
50,6,334.7479586,11.15826529,73.90419162,2.463473054,47,1.566666667,49,1.633333333,410.6646222,57.69314472
51,6,334.9271168,11.16423723,85.94265809,2.86475527,47,1.566666667,49,1.633333333,396.2905703,57.88156484
52,6,335.138535,11.1712845,98.06794055,3.268931352,48,1.6,49,1.633333333,382.2897697,58.1618896
53,6,335.3284288,11.17761429,110.395691,3.679856367,49,1.633333333,50,1.666666667,381.8215459,58.35699264
54,6,335.465445,11.1821815,122.786911,4.092897033,49,1.633333333,49,1.633333333,391.1070128,59.6104712
55,6,335.5977249,11.18659083,134.9622544,4.498741813,50,1.666666667,49,1.633333333,397.2505898,58.38210962
56,6,335.7803262,11.19267754,147.1406728,4.904689093,50,1.666666667,49,1.633333333,400.584789,60.70606215
57,6,336,11.2,159.363,5.3121,51,1.7,50,1.666666667,395.1650254,61.0245
58,6,336.1762678,11.20587559,171.5834564,5.719448548,51,1.7,50,1.666666667,402.2000839,59.70029528
59,6,336.3224866,11.21074955,183.7931034,6.126436782,52,1.733333333,50,1.666666667,408.021823,59.21796117
60,6,336.5464217,11.21821406,196.0386847,6.534622824,52,1.733333333,51,1.7,408.192178,55.15603865
61,6,336.6886838,11.22295613,208.2875182,6.942917274,52,1.733333333,50,1.666666667,401.7579718,53.7867897
62,6,336.9843291,11.23281097,220.5749265,7.352497551,53,1.766666667,50,1.666666667,389.6845782,54.825
63,6,337.2285714,11.24095238,233.0140351,7.767134503,52,1.733333333,49,1.633333333,390.7797804,55.2406015
64,6,337.4022518,11.24674173,245.3720573,8.179068577,52,1.733333333,48,1.6,396.8517024,59.34322251
65,6,337.5041754,11.25013918,257.7192067,8.590640223,52,1.733333333,47,1.566666667,406.3647427,61.97652582
66,6,337.7507987,11.25835996,269.9898829,8.999662762,52,1.733333333,47,1.566666667,410.3330398,61.48375067
67,6,337.9048649,11.2634955,282.2302703,9.407675676,51,1.7,46,1.533333333,423.7758783,56.76324324
68,6,338.0434543,11.26811514,294.5110011,9.81703337,49,1.633333333,46,1.533333333,435.6136561,51.17042331
69,6,338.1739612,11.27246537,306.8354571,10.22784857,49,1.633333333,46,1.533333333,447.8920359,52.09679204
70,6,338.2732332,11.27577444,319.392877,10.64642923,49,1.633333333,46,1.533333333,443.6420744,50.5083426
71,6,338.4359978,11.28119993,331.8675238,11.06225079,49,1.633333333,47,1.566666667,439.4453897,52.07774049
72,6,338.640045,11.2880015,344.3487064,11.47829021,48,1.6,47,1.566666667,427.5478263,53.22103487
73,6,338.9562002,11.29854001,357.0875995,11.90291998,48,1.6,47,1.566666667,412.8951387,52.80476731
74,6,339.1104751,11.3036825,369.8236978,12.32745659,47,1.566666667,47,1.566666667,416.250768,53.49828179
75,6,339.2912844,11.30970948,382.4678899,12.74892966,47,1.566666667,46,1.533333333,419.3129639,52.91174785
76,6,339.5431959,11.31810653,394.9915302,13.16638434,48,1.6,47,1.566666667,428.8216642,54.06038375
77,6,339.7803661,11.3260122,407.5180255,13.58393418,48,1.6,48,1.6,435.4135572,52.72560976
78,6,339.9092391,11.33030797,420.0016304,14.00005435,48,1.6,49,1.633333333,434.2784669,52.18566775
79,6,340.076226,11.3358742,432.5511727,14.41837242,49,1.633333333,49,1.633333333,434.6652945,51.66755461
80,6,340.2638165,11.34212722,445.0828989,14.83609663,49,1.633333333,50,1.666666667,432.0873366,50.60427529
81,6,340.3300921,11.3443364,457.6371546,15.25457182,49,1.633333333,50,1.666666667,431.2210232,51.1544757
82,6,340.6113074,11.35371025,470.4134276,15.68044759,50,1.666666667,50,1.666666667,423.2356558,53.14235235
62,7,647.449284,21.5816428,24.78699284,0.826233095,48,1.6,45,1.5,355.825953,35.18078759
63,7,647.5124167,21.58374722,36.75469412,1.225156471,48,1.6,43,1.433333333,348.1583667,33.77757576
64,7,647.4694377,21.58231459,48.60819071,1.620273024,48,1.6,43,1.433333333,340.7315096,37.39143731
68,7,647.7410824,21.59136941,96.1402214,3.204674047,47,1.566666667,44,1.466666667,339.5622702,33.89011664
69,7,647.802591,21.5934197,108.1202961,3.60400987,46,1.533333333,44,1.466666667,350.8599044,32.26383764
70,7,647.8756127,21.59585376,120.067402,4.002246732,46,1.533333333,45,1.5,363.9152234,34.60954712
73,7,648.2109375,21.60703125,156.1316106,5.204387019,44,1.466666667,47,1.566666667,362.0856875,35.04927885
74,7,648.2617211,21.60872404,168.2350148,5.607833828,44,1.466666667,48,1.6,347.0101426,36.92111507
75,7,648.3565115,21.61188372,180.2692988,6.008976625,44,1.466666667,48,1.6,327.2005014,37.84583579
77,7,648.4588644,21.61529548,204.2253766,6.807512553,43,1.433333333,50,1.666666667,314.0909601,40.49016204
80,7,648.7244367,21.62414789,240.8896592,8.029655305,43,1.433333333,50,1.666666667,347.6057095,42.62969382
82,7,649.1345601,21.63781867,265.3628522,8.845428407,44,1.466666667,49,1.633333333,357.5479607,43.45862069
83,7,649.3684211,21.64561404,277.6395881,9.254652937,45,1.5,48,1.6,359.1990193,43.90966266
84,7,649.4565343,21.64855114,289.8923431,9.663078104,46,1.533333333,47,1.566666667,350.839303,44.97412306
85,7,649.5489068,21.65163023,302.0771001,10.06923667,46,1.533333333,47,1.566666667,334.3353274,45.28719127
86,7,649.6678201,21.655594,314.3379469,10.47793156,46,1.533333333,46,1.533333333,323.7553485,45.54472014
87,7,649.6518219,21.65506073,326.4887218,10.88295739,47,1.566666667,46,1.533333333,323.1311226,46.54393064
88,7,649.740676,21.65802253,338.8374126,11.29458042,47,1.566666667,45,1.5,324.2604509,46.26748252
89,7,649.8294712,21.66098237,351.2305407,11.70768469,48,1.6,44,1.466666667,330.0583873,47.08687943
91,7,650.1059683,21.67019894,375.9598051,12.5319935,48,1.6,43,1.433333333,356.1476834,45.59720535
92,7,650.1834356,21.67278119,388.3607362,12.94535787,48,1.6,42,1.4,357.4147695,45.39754601
93,7,650.3247391,21.6774913,400.9226519,13.3640884,48,1.6,43,1.433333333,354.4433207,45.84449908
94,7,650.428483,21.68094943,413.3640867,13.77880289,47,1.566666667,43,1.433333333,348.1919321,44.39839407
95,7,650.4584352,21.68194784,425.8239609,14.19413203,47,1.566666667,43,1.433333333,339.8774476,46.14513166
96,7,650.5922799,21.68640933,438.2334138,14.60778046,47,1.566666667,44,1.466666667,329.3276591,46.82729469
97,7,650.6965558,21.68988519,450.5872922,15.01957641,46,1.533333333,46,1.533333333,315.1961645,48.22301305
98,7,650.7943925,21.69314642,462.9760514,15.43253505,46,1.533333333,47,1.566666667,317.9007703,48.85864486
99,7,650.8665491,21.69555164,475.3321576,15.84440525,44,1.466666667,47,1.566666667,314.9409412,45.94665885
87,8,290.3482456,9.678274854,167.7657895,5.592192982,38,1.266666667,38,1.266666667,431.1086539,64.3
95,8,291.8216216,9.727387387,265.454955,8.848498498,39,1.3,36,1.2,454.9475917,63.88568857
96,8,291.9625335,9.732084448,277.5191793,9.25063931,39,1.3,36,1.2,461.4276189,63.44959857
97,8,292.1513274,9.738377581,289.7283186,9.657610619,39,1.3,37,1.233333333,460.1621125,64.09893993
98,8,292.339207,9.744640235,301.8872247,10.06290749,39,1.3,37,1.233333333,454.2935108,63.56123348
87,9,657.2886042,21.90962014,28.66284558,0.955428186,41,1.366666667,45,1.5,401.8838286,31.44054054
88,9,657.353815,21.91179383,40.44226874,1.348075625,41,1.366666667,46,1.533333333,400.5267583,29.85588633
89,9,657.4598786,21.91532929,52.30141605,1.743380535,42,1.4,46,1.533333333,391.7491785,31.39057239
90,9,657.5194631,21.91731544,64.16979866,2.138993289,42,1.4,45,1.5,386.1992265,31.59020791
91,9,657.6195579,21.92065193,76.12926993,2.537642331,42,1.4,45,1.5,381.0262907,31.78862876
92,9,657.6796247,21.92265416,88.14410188,2.938136729,42,1.4,45,1.5,380.7847881,31.48628763
93,9,657.757047,21.9252349,100.1885906,3.339619687,42,1.4,44,1.466666667,384.840963,31.76324614
94,9,657.8975218,21.92991739,112.232418,3.741080598,43,1.433333333,44,1.466666667,387.9021697,29.97925033
