fall.height.m,fall.time.s,volume.holdup.m3,volume.holdup.L,N,SA.to.V.1/m
0.53,0.274236478117716,2.05677358588287e-05,0.0205677358588287,9142.9987623482,3690.78020556688
0.68,0.321848411172812,2.41386308379609e-05,0.0241386308379609,10730.3727250816,3690.78020556688
0.98,0.406261687644005,3.04696265733004e-05,0.0304696265733004,13544.6973823964,3690.78020556688
